날짜,기온(°C),습도(%),강수량(mm)
2024-06-29,27.86111111111111,61.833333333333336,34.8
2024-06-30,23.568421052631578,87.47368421052632,35.7
2024-07-01,27.05263157894737,66.36842105263158,0.0
2024-07-02,23.031578947368423,90.73684210526316,63.5
2024-07-03,24.847368421052632,79.78947368421052,2.4000000000000004
2024-07-04,27.310526315789474,71.94736842105263,3.6
2024-07-05,24.173684210526318,78.52631578947368,4.1
2024-07-06,25.75263157894737,82.3157894736842,2.8
2024-07-07,25.089473684210525,83.05263157894737,28.7
2024-07-08,23.926315789473687,92.89473684210526,21.1
2024-07-09,24.889473684210525,85.26315789473684,0.1
2024-07-10,27.5,74.26315789473684,1.5999999999999999
2024-07-11,26.342105263157894,76.3157894736842,0.0
2024-07-12,26.257894736842104,77.42105263157895,0.0
2024-07-13,28.968421052631577,67.26315789473684,0.0
2024-07-14,29.115789473684213,64.21052631578948,0.4
2024-07-15,29.205263157894734,62.63157894736842,0.0
2024-07-16,27.389473684210525,77.10526315789474,16.5
2024-07-17,25.55263157894737,90.42105263157895,91.60000000000001
2024-07-18,24.310526315789474,95.26315789473684,136.5
2024-07-19,27.557894736842105,78.15789473684211,0.1
2024-07-20,27.357894736842102,80.63157894736842,14.9
2024-07-21,27.152631578947368,81.84210526315789,8.5
2024-07-22,26.931578947368422,87.0,48.0
2024-07-23,26.50526315789474,87.10526315789474,33.9
2024-07-24,28.531578947368423,82.89473684210526,14.7
2024-07-25,29.44736842105263,77.6842105263158,21.0
2024-07-26,29.157894736842106,80.42105263157895,9.799999999999999
2024-07-27,29.09473684210526,82.73684210526316,33.5
2024-07-28,29.63157894736842,74.47368421052632,0.0
2024-07-29,27.463157894736838,83.63157894736842,0.0
2024-07-30,29.015789473684208,77.78947368421052,0.0
2024-07-31,29.942105263157895,72.21052631578948,0.0
2024-08-01,30.310526315789474,74.36842105263158,0.3
2024-08-02,29.99473684210526,77.94736842105263,0.0
2024-08-03,30.92105263157895,72.52631578947368,0.0
2024-08-04,32.51052631578948,66.3157894736842,0.0
2024-08-05,30.95263157894737,71.84210526315789,0.5
2024-08-06,29.984210526315792,72.78947368421052,0.8
2024-08-07,30.157894736842106,71.0,3.4
2024-08-08,28.973684210526315,75.47368421052632,0.0
2024-08-09,29.978947368421053,71.42105263157895,0.0
2024-08-10,30.747368421052634,68.15789473684211,0.0
2024-08-11,31.489473684210523,65.47368421052632,0.0
2024-08-12,31.55263157894737,68.0,0.0
2024-08-13,32.06842105263158,67.10526315789474,0.0
2024-08-14,30.57894736842105,70.42105263157895,3.0
2024-08-15,29.821052631578947,72.0,6.3999999999999995
2024-08-16,30.605263157894736,67.10526315789474,0.0
2024-08-17,30.178947368421053,69.78947368421052,11.0
2024-08-18,30.115789473684213,71.73684210526316,0.0
2024-08-19,30.49473684210526,69.52631578947368,2.3
2024-08-20,32.11578947368421,65.63157894736842,0.0
2024-08-21,28.85263157894737,83.0,42.2
2024-08-22,28.878947368421056,78.52631578947368,0.6000000000000001
2024-08-23,28.989473684210523,71.47368421052632,0.0
2024-08-24,28.26842105263158,76.10526315789474,2.0
2024-08-25,29.22631578947368,73.3157894736842,0.0
2024-08-26,28.473684210526315,75.15789473684211,0.0
2024-08-27,26.86842105263158,67.47368421052632,0.3
2024-08-28,29.27368421052632,58.8421052631579,0.0
2024-08-29,29.526315789473685,58.21052631578947,0.0
2024-08-30,29.105263157894736,61.63157894736842,0.0
2024-08-31,28.72105263157895,61.36842105263158,0.0
2024-09-01,27.836842105263155,60.1578947368421,0.0
2024-09-02,24.910526315789475,71.6842105263158,2.6999999999999997
2024-09-03,27.736842105263158,53.473684210526315,0.0
2024-09-04,28.810526315789474,57.68421052631579,0.0
2024-09-05,26.473684210526315,79.94736842105263,6.9
2024-09-06,24.163157894736845,78.15789473684211,0.7
2024-09-07,27.110526315789475,66.63157894736842,0.0
2024-09-08,28.121052631578944,66.84210526315789,0.0
2024-09-09,29.41578947368421,66.0,0.0
2024-09-10,30.247368421052634,64.26315789473684,0.0
2024-09-11,29.957894736842107,67.84210526315789,0.0
2024-09-12,25.58421052631579,90.57894736842105,33.1
2024-09-13,26.23157894736842,90.0,7.5
2024-09-14,28.44736842105263,78.05263157894737,0.1
2024-09-15,28.3,71.42105263157895,0.0
2024-09-16,27.431578947368422,71.36842105263158,9.5
2024-09-17,29.289473684210527,74.63157894736842,0.0
2024-09-18,30.210526315789473,73.0,0.7
2024-09-19,29.663157894736845,75.36842105263158,0.0
2024-09-20,25.852631578947367,88.84210526315789,49.1
2024-09-21,19.66842105263158,80.78947368421052,32.4
2024-09-22,22.031578947368423,64.94736842105263,0.0
2024-09-23,21.763157894736842,55.94736842105263,0.0
2024-09-24,22.13157894736842,53.78947368421053,0.0
2024-09-25,23.88421052631579,63.68421052631579,0.0
2024-09-26,24.257894736842104,72.10526315789474,1.2000000000000002
2024-09-27,23.61578947368421,69.89473684210526,0.0
2024-09-28,24.073684210526313,57.526315789473685,0.0
2024-09-29,24.400000000000002,59.26315789473684,0.0
2024-09-30,23.915789473684214,59.473684210526315,0.0
2024-10-01,18.557894736842105,64.94736842105263,2.5
2024-10-02,15.610526315789475,46.421052631578945,0.0
2024-10-03,17.54736842105263,54.63157894736842,0.0
2024-10-04,18.88947368421053,54.89473684210526,0.0
2024-10-05,18.778947368421054,56.31578947368421,0.0
2024-10-06,16.00526315789474,72.21052631578948,0.0
2024-10-07,17.542105263157897,71.52631578947368,0.0
2024-10-08,18.57894736842105,70.73684210526316,0.0
2024-10-09,19.778947368421054,60.94736842105263,0.0
2024-10-10,19.836842105263155,62.421052631578945,0.0
2024-10-11,19.652631578947368,64.10526315789474,0.0
2024-10-12,19.48421052631579,54.578947368421055,0.0
2024-10-13,19.257894736842104,62.68421052631579,0.0
2024-10-14,19.652631578947368,68.84210526315789,0.0
2024-10-15,19.573684210526313,83.42105263157895,0.5
2024-10-16,19.163157894736845,73.52631578947368,0.0
2024-10-17,19.98421052631579,66.57894736842105,0.0
2024-10-18,17.436842105263157,87.42105263157895,47.1
2024-10-19,17.278947368421054,73.3157894736842,1.0
2024-10-20,14.215789473684211,53.73684210526316,0.0
2024-10-21,15.436842105263159,64.42105263157895,0.0
2024-10-22,15.726315789473684,90.94736842105263,19.1
2024-10-23,13.421052631578947,73.10526315789474,3.8000000000000003
2024-10-24,13.552631578947368,67.05263157894737,0.0
2024-10-25,16.00526315789474,58.78947368421053,0.0
2024-10-26,18.263157894736842,64.05263157894737,0.0
2024-10-27,16.46842105263158,77.63157894736842,0.0
2024-10-28,16.410526315789475,73.47368421052632,0.0
2024-10-29,15.563157894736841,62.526315789473685,0.0
2024-10-30,16.705263157894734,67.0,0.0
2024-10-31,17.063157894736843,63.78947368421053,0.0
2024-11-01,15.74736842105263,69.26315789473684,0.0
2024-11-02,19.30526315789474,56.0,0.0
2024-11-03,18.63157894736842,68.10526315789474,0.0
2024-11-04,15.221052631578948,59.1578947368421,0.1
2024-11-05,9.957894736842105,47.05263157894737,0.0
2024-11-06,8.326315789473684,42.36842105263158,0.0
2024-11-07,9.173684210526316,44.10526315789474,0.0
2024-11-08,11.41578947368421,47.73684210526316,0.0
2024-11-09,14.078947368421053,52.68421052631579,0.0
2024-11-10,15.389473684210525,61.05263157894737,0.0
2024-11-11,15.647368421052633,59.63157894736842,0.0
2024-11-12,14.878947368421052,64.15789473684211,0.0
2024-11-13,15.347368421052632,59.63157894736842,0.0
2024-11-14,15.078947368421053,67.3157894736842,0.1
2024-11-15,17.489473684210527,63.10526315789474,0.0
2024-11-16,17.55263157894737,72.52631578947368,6.5
2024-11-17,7.7368421052631575,47.78947368421053,0.0
2024-11-18,3.6526315789473687,29.736842105263158,0.0
2024-11-19,6.226315789473684,47.0,0.0
2024-11-20,7.205263157894737,62.578947368421055,0.0
2024-11-21,10.405263157894737,71.10526315789474,0.0
2024-11-22,7.2368421052631575,44.63157894736842,0.0
2024-11-23,7.3999999999999995,45.473684210526315,0.0
2024-11-24,8.473684210526315,54.31578947368421,0.0
2024-11-25,11.052631578947368,55.421052631578945,0.0
2024-11-26,6.273684210526316,81.0,19.4
2024-11-27,-0.2894736842105263,88.42105263157895,26.2
2024-11-28,1.1894736842105265,80.52631578947368,7.699999999999999
2024-11-29,0.8842105263157896,73.21052631578948,0.0
2024-11-30,3.026315789473684,80.10526315789474,0.0
2024-12-01,5.7105263157894735,87.78947368421052,0.2
2024-12-02,7.536842105263157,78.94736842105263,0.3
2024-12-03,1.9526315789473685,45.10526315789474,0.0
2024-12-04,3.663157894736842,50.1578947368421,0.0
2024-12-05,4.557894736842105,61.526315789473685,1.8
2024-12-06,2.710526315789474,48.94736842105263,0.0
2024-12-07,0.8105263157894737,54.31578947368421,0.0
2024-12-08,0.431578947368421,44.0,0.0
2024-12-09,2.094736842105263,52.578947368421055,0.0
2024-12-10,3.3157894736842106,57.1578947368421,0.0
2024-12-11,3.789473684210526,48.473684210526315,0.0
2024-12-12,1.3105263157894738,42.21052631578947,0.0
2024-12-13,1.6578947368421053,40.26315789473684,0.0
2024-12-14,-0.3052631578947369,48.10526315789474,0.0
2024-12-15,1.6789473684210525,49.526315789473685,0.0
2024-12-16,0.5736842105263157,64.42105263157895,0.0
2024-12-17,-0.015789473684210516,50.26315789473684,0.0
2024-12-18,-2.8000000000000003,45.05263157894737,0.0
2024-12-19,-0.6263157894736843,44.73684210526316,0.0
2024-12-20,1.9210526315789473,58.526315789473685,0.0
2024-12-21,-0.5684210526315789,72.3157894736842,3.3
2024-12-22,-2.557894736842105,50.473684210526315,0.0
2024-12-23,1.3052631578947367,56.26315789473684,0.0
2024-12-24,0.4368421052631579,47.0,0.0
2024-12-25,3.205263157894737,62.10526315789474,0.0
2024-12-26,0.3368421052631579,53.10526315789474,0.1
2024-12-27,-1.857894736842105,50.473684210526315,0.0
2024-12-28,-2.5105263157894733,47.578947368421055,0.0
2024-12-29,1.6578947368421053,53.89473684210526,0.0
2024-12-30,5.889473684210526,66.63157894736842,0.0
2024-12-31,1.3789473684210527,46.0,0.0
2025-01-01,3.5368421052631582,61.89473684210526,0.0
2025-01-02,1.5947368421052632,44.421052631578945,0.0
2025-01-03,-0.14736842105263154,49.68421052631579,0.0
2025-01-04,0.8052631578947368,46.21052631578947,0.0
2025-01-05,1.0315789473684212,86.0,6.699999999999999
2025-01-06,1.1631578947368422,74.21052631578948,3.0
2025-01-07,-1.9210526315789473,53.578947368421055,0.1
2025-01-08,-2.9,51.89473684210526,0.0
2025-01-09,-9.299999999999999,40.78947368421053,0.0
2025-01-10,-6.7631578947368425,46.36842105263158,0.0
2025-01-11,-4.226315789473684,53.89473684210526,0.0
2025-01-12,-2.5157894736842104,56.26315789473684,0.0
2025-01-13,0.2526315789473685,75.15789473684211,1.3
2025-01-14,2.668421052631579,70.10526315789474,0.1
2025-01-15,-2.9526315789473685,37.94736842105263,0.0
2025-01-16,-0.06842105263157901,64.78947368421052,0.0
2025-01-17,0.6473684210526315,59.0,0.0
2025-01-18,2.005263157894737,50.78947368421053,0.0
2025-01-19,4.352631578947369,64.05263157894737,0.0
2025-01-20,4.284210526315789,70.73684210526316,0.0
2025-01-21,2.9210526315789473,78.3157894736842,0.0
2025-01-22,4.010526315789474,67.10526315789474,0.0
2025-01-23,2.7736842105263158,49.89473684210526,0.0
2025-01-24,4.2631578947368425,42.05263157894737,0.0
2025-01-25,6.273684210526316,48.578947368421055,0.0
2025-01-26,5.010526315789474,48.8421052631579,0.0
2025-01-27,0.2789473684210526,73.42105263157895,5.5
2025-01-28,-3.6789473684210527,70.73684210526316,0.2
2025-01-29,-4.205263157894737,62.0,0.2
2025-01-30,-3.2421052631578946,43.73684210526316,0.0
2025-01-31,-0.7368421052631579,79.84210526315789,2.4
2025-02-01,2.442105263157895,71.47368421052632,0.0
2025-02-02,2.4473684210526314,64.47368421052632,0.0
2025-02-03,-3.7315789473684213,48.05263157894737,0.0
2025-02-04,-8.447368421052632,48.526315789473685,0.0
2025-02-05,-7.8842105263157904,45.78947368421053,0.0
2025-02-06,-4.726315789473684,60.10526315789474,2.3
2025-02-07,-8.031578947368422,56.1578947368421,0.4
2025-02-08,-7.28421052631579,52.31578947368421,0.0
2025-02-09,-3.7263157894736842,59.36842105263158,0.0
2025-02-10,-1.6578947368421053,59.05263157894737,0.0
2025-02-11,1.5157894736842106,57.578947368421055,0.0
2025-02-12,0.7842105263157895,77.63157894736842,2.5
2025-02-13,1.3526315789473684,50.89473684210526,0.0
2025-02-14,4.726315789473684,61.94736842105263,0.0
2025-02-15,4.810526315789474,73.57894736842105,0.0
2025-02-16,5.278947368421052,75.36842105263158,0.0
2025-02-17,0.3736842105263158,39.05263157894737,0.0
2025-02-18,-1.5052631578947369,38.10526315789474,0.0
2025-02-19,-2.405263157894737,42.05263157894737,0.0
2025-02-20,-2.121052631578947,39.526315789473685,0.0
2025-02-21,-1.6947368421052633,41.8421052631579,0.0
2025-02-22,-1.3789473684210527,45.26315789473684,0.0
2025-02-23,-2.9105263157894736,42.31578947368421,0.0
2025-02-24,-0.4473684210526317,45.36842105263158,0.0
2025-02-25,2.9842105263157896,67.89473684210526,0.0
2025-02-26,4.294736842105263,43.73684210526316,0.0
2025-02-27,7.0894736842105255,26.473684210526315,0.0
2025-02-28,8.715789473684211,50.526315789473685,0.0
2025-03-01,9.331578947368422,65.84210526315789,0.6000000000000001
2025-03-02,8.93157894736842,65.73684210526316,9.0
2025-03-03,3.5631578947368423,60.94736842105263,13.200000000000001
2025-03-04,2.3421052631578947,72.36842105263158,4.0
2025-03-05,5.4263157894736835,61.578947368421055,0.0
2025-03-06,5.9526315789473685,52.05263157894737,0.0
2025-03-07,6.321052631578947,46.63157894736842,0.0
2025-03-08,6.563157894736842,49.89473684210526,0.0
2025-03-09,8.021052631578948,62.36842105263158,0.0
2025-03-10,9.205263157894738,55.26315789473684,0.0
2025-03-11,10.563157894736841,54.0,0.0
2025-03-12,9.105263157894736,72.05263157894737,0.0
2025-03-13,9.926315789473684,49.473684210526315,0.0
2025-03-14,13.826315789473684,28.789473684210527,0.0
2025-03-15,13.25263157894737,36.1578947368421,0.0
2025-03-16,5.078947368421052,53.94736842105263,0.8
2025-03-17,3.4684210526315793,38.526315789473685,0.0
2025-03-18,2.621052631578947,68.3157894736842,10.3
2025-03-19,3.2421052631578946,45.26315789473684,0.0
2025-03-20,8.778947368421052,60.21052631578947,0.0
2025-03-21,12.563157894736843,57.36842105263158,0.0
